#sample_accession	run_accession	paired	Tissue	Sub_Tissue	Origin	Age_Days	Source
SRS625611	SRR1321921	y	Nerve	.Nerve_Tibial.	Adult.Tissue	.	old
SRS625613	SRR1321966	y	Brain	.Brain_Spinal.cord.(cervical.c-1).	Adult.Tissue	.	old
SRS625618	SRR1322046	y	Adrenal.Gland	.Adrenal.Gland.	Adult.Tissue	.	old
SRS625628	SRR1322270	y	Brain	.Brain_Cerebellar.Hemisphere.	Adult.Tissue	.	old
SRS625634	SRR1322395	y	Heart	.Heart_Left.Ventricle.	Adult.Tissue	.	old
SRS625635	SRR1322419	y	Brain	.Brain_Amygdala.	Adult.Tissue	.	old
SRS625650	SRR1322730	y	Pancreas	.Pancreas.	Adult.Tissue	.	old
SRS625684	SRR1323130	y	Brain	.Brain_Nucleus.accumbens.(basal.ganglia).	Adult.Tissue	.	old
SRS625687	SRR1323196	y	Brain	.Brain_Hippocampus.	Adult.Tissue	.	old
SRS625703	SRR1323536	y	Brain	.Brain_Hippocampus.	Adult.Tissue	.	old
SRS625706	SRR1323603	y	Brain	.Brain_Spinal.cord.(cervical.c-1).	Adult.Tissue	.	old
SRS625715	SRR1323807	y	Brain	.Brain_Spinal.cord.(cervical.c-1).	Adult.Tissue	.	old
SRS625733	SRR1324102	y	Pancreas	.Pancreas.	Adult.Tissue	.	old
SRS625734	SRR1324119	y	Skin	.Skin_Sun.Exposed.(Lower.leg).	Adult.Tissue	.	old
SRS626177	SRR1325201	y	Salivary.Gland	.Minor.Salivary.Gland.	Adult.Tissue	.	old
SRS626182	SRR1325310	y	Blood.Vessel	.Artery_Tibial.	Adult.Tissue	.	old
SRS626190	SRR1325483	y	Kidney	.Kidney_Cortex.	Adult.Tissue	.	old
SRS626193	SRR1325559	y	Skin	.Skin_Sun.Exposed.(Lower.leg).	Adult.Tissue	.	old
SRS626195	SRR1325578	y	Esophagus	.Esophagus_Muscularis.	Adult.Tissue	.	old
SRS626215	SRR1326020	y	Pancreas	.Pancreas.	Adult.Tissue	.	old
SRS626224	SRR1326179	y	Brain	.Brain_Frontal.Cortex.(BA9).	Adult.Tissue	.	old
SRS626248	SRR1326317	y	Esophagus	.Esophagus_Gastroesophageal.Junction.	Adult.Tissue	.	old
SRS626265	SRR1326687	y	Heart	.Heart_Left.Ventricle.	Adult.Tissue	.	old
SRS626270	SRR1326797	y	Pituitary	.Pituitary.	Adult.Tissue	.	old
SRS626619	SRR1327855	y	Blood.Vessel	.Artery_Coronary.	Adult.Tissue	.	old
SRS626623	SRR1327933	y	Blood.Vessel	.Artery_Coronary.	Adult.Tissue	.	old
SRS626838	SRR1328960	y	Brain	.Brain_Cortex.	Adult.Tissue	.	old
SRS626848	SRR1329154	y	Kidney	.Kidney_Cortex.	Adult.Tissue	.	old
SRS627044	SRR1330371	y	Small.Intestine	.Small.Intestine_Terminal.Ileum.	Adult.Tissue	.	old
SRS627074	SRR1330901	y	Pancreas	.Pancreas.	Adult.Tissue	.	old
SRS627077	SRR1330965	y	Heart	.Heart_Left.Ventricle.	Adult.Tissue	.	old
SRS627093	SRR1331335	y	Brain	.Brain_Cortex.	Adult.Tissue	.	old
SRS627099	SRR1331466	y	Brain	.Brain_Putamen.(basal.ganglia).	Adult.Tissue	.	old
SRS627113	SRR1331771	y	Salivary.Gland	.Minor.Salivary.Gland.	Adult.Tissue	.	old
SRS627133	SRR1332187	y	Blood.Vessel	.Artery_Aorta.	Adult.Tissue	.	old
SRS627140	SRR1332339	y	Nerve	.Nerve_Tibial.	Adult.Tissue	.	old
SRS627143	SRR1332403	y	Adrenal.Gland	.Adrenal.Gland.	Adult.Tissue	.	old
SRS627156	SRR1332670	y	Skin	.Skin_Not.Sun.Exposed.(Suprapubic).	Adult.Tissue	.	old
SRS627162	SRR1332796	y	Brain	.Brain_Cortex.	Adult.Tissue	.	old
SRS627163	SRR1332816	y	Blood.Vessel	.Artery_Aorta.	Adult.Tissue	.	old
SRS627185	SRR1333287	y	Colon	.Colon_Sigmoid.	Adult.Tissue	.	old
SRS627186	SRR1333308	y	Adipose.Tissue	.Adipose_Visceral.(Omentum).	Adult.Tissue	.	old
SRS627187	SRR1333330	y	Blood	.Cells_EBV-transformed.lymphocytes.	Cell.Line	.	old
SRS627188	SRR1333352	y	Brain	.Brain_Amygdala.	Adult.Tissue	.	old
SRS627210	SRR1333789	y	Skin	.Skin_Sun.Exposed.(Lower.leg).	Adult.Tissue	.	old
SRS627303	SRR1334200	y	Spleen	.Spleen.	Adult.Tissue	.	old
SRS627356	SRR1334608	y	Blood	.Whole.Blood.	Adult.Tissue	.	old
SRS627436	SRR1335278	y	Nerve	.Nerve_Tibial.	Adult.Tissue	.	old
SRS627440	SRR1335355	y	Skin	.Skin_Sun.Exposed.(Lower.leg).	Adult.Tissue	.	old
SRS627441	SRR1335377	y	Brain	.Brain_Cerebellum.	Adult.Tissue	.	old
SRS627444	SRR1335446	y	Brain	.Brain_Frontal.Cortex.(BA9).	Adult.Tissue	.	old
SRS627446	SRR1335489	y	Skin	.Skin_Not.Sun.Exposed.(Suprapubic).	Adult.Tissue	.	old
