study_id	sample_id	setup
SRP080886	SRR3994692	paired
SRP080886	SRR3994693	paired
SRP080886	SRR3994694	paired
SRP080886	SRR3994695	paired
SRP080886	SRR3994696	paired
SRP080886	SRR3994697	paired
SRP080886	SRR3994698	paired
SRP080886	SRR3994699	paired
SRP300190	SRR13347986	single
SRP300190	SRR13347987	single
SRP300190	SRR13347988	single
SRP255891	SRR11519182	single
SRP255891	SRR11519183	single
SRP255891	SRR11519184	single
SRP255891	SRR11519185	single
SRP255891	SRR11519186	single
SRP255891	SRR11519187	single
SRP255891	SRR11519188	single
SRP255891	SRR11519189	single
SRP273695	SRR15431749	single
SRP273695	SRR15431750	single
SRP273695	SRR15431751	paired
SRP273695	SRR15431752	single
SRP273695	SRR15431753	paired
SRP273695	SRR15431754	paired
SRP273695	SRR15431755	single
SRP273695	SRR15431756	single
SRP273695	SRR15431757	paired
SRP273695	SRR15431758	paired
SRP273695	SRR15431759	single
SRP273695	SRR15431760	single
SRP273695	SRR15431761	paired
SRP273695	SRR15431762	paired
SRP273695	SRR15431763	single
SRP273695	SRR15431764	single
SRP273695	SRR15431765	paired
SRP273695	SRR15431766	paired
SRP273695	SRR15431767	single
SRP273695	SRR15431768	single
SRP273695	SRR15431769	paired
SRP273695	SRR15431770	paired
SRP273695	SRR15431771	single
SRP273695	SRR15431772	single
SRP273695	SRR15431773	paired
SRP273695	SRR15431774	paired
SRP273695	SRR15431775	single
SRP273695	SRR15431776	single
