sample_accession	run_accession	setup
SRS3076832	SRR6875339	paired
SRS3076833	SRR6875340	paired
SRS3076834	SRR6875341	paired
SRS3076835	SRR6875342	paired
SRS3076836	SRR6875343	paired
SRS7771259	SRR13123467	paired
SRS7773270	SRR13123468	paired
SRS7769575	SRR13123469	paired
SRS7775040	SRR13123470	paired
SRS8145608	SRR13574907	paired
SRS8145607	SRR13574908	paired
SRS8145606	SRR13574909	paired
SRS7961495	SRR13347986	single
SRS7961496	SRR13347987	single
SRS7961497	SRR13347988	single
SRS9166479	SRR14768214	paired
SRS9166480	SRR14768215	paired
SRS9166481	SRR14768216	paired
SRS9166482	SRR14768217	paired
SRS11817482	SRR17818198	paired
SRS11817526	SRR17818255	paired
SRS11817625	SRR17818384	paired
SRS11817732	SRR17818514	paired
SRS11823562	SRR17822310	paired
SRS11824133	SRR17822892	paired
SRS11824523	SRR17823293	paired
SRS897015	SRR1956810	single
SRS897013	SRR1956811	single
SRS897014	SRR1956812	single
SRS2305608	SRR5740339	paired
SRS7961491	SRR13347982	single
SRS7961492	SRR13347983	single
SRS7961493	SRR13347984	single
SRS7961494	SRR13347985	single
ERS5672529	ERR5236614	paired
ERS5672530	ERR5236615	paired
ERS5672531	ERR5236616	paired
ERS5672532	ERR5236617	paired
ERS5672533	ERR5236618	paired
ERS5672534	ERR5236619	paired
ERS5672535	ERR5236620	paired
ERS5672536	ERR5236621	paired
ERS5672537	ERR5236622	paired
ERS5672538	ERR5236623	paired
ERS5672539	ERR5236624	paired
ERS5672540	ERR5236625	paired
ERS5672541	ERR5236626	paired
ERS5672542	ERR5236627	paired
ERS5672543	ERR5236628	paired
ERS5672544	ERR5236629	paired
ERS5672545	ERR5236630	paired
ERS5672546	ERR5236631	paired
ERS5672547	ERR5236632	paired
ERS5672548	ERR5236633	paired
ERS5672549	ERR5236634	paired
ERS5672550	ERR5236635	paired
ERS5672551	ERR5236636	paired
ERS5672552	ERR5236637	paired
ERS5672553	ERR5236638	paired
ERS5672554	ERR5236639	paired
ERS5672555	ERR5236640	paired
ERS5672556	ERR5236641	paired
ERS5672557	ERR5236642	paired
ERS5672558	ERR5236643	paired
ERS5672559	ERR5236644	paired
ERS5672560	ERR5236645	paired
ERS5672561	ERR5236646	paired
ERS5672562	ERR5236647	paired
ERS5672563	ERR5236648	paired
ERS5672564	ERR5236649	paired
ERS5672565	ERR5236650	paired
ERS5672566	ERR5236651	paired
ERS5672567	ERR5236652	paired
ERS5672568	ERR5236653	paired
ERS5672569	ERR5236654	paired
ERS5672570	ERR5236655	paired
ERS5672571	ERR5236656	paired
ERS5672572	ERR5236657	paired
ERS5672573	ERR5236658	paired
ERS5672574	ERR5236659	paired
ERS5672575	ERR5236660	paired
ERS5672576	ERR5236661	paired
ERS5672577	ERR5236662	paired
ERS5672578	ERR5236663	paired
SRS897012	SRR1956813	single
SRS897011	SRR1956814	single
SRS897009	SRR1956815	single
SRS897008	SRR1956816	single
SRS897010	SRR1956817	single
SRS897007	SRR1956818	single
SRS897006	SRR1956819	single
SRS897005	SRR1956820	single
SRS897004	SRR1956821	single
SRS897003	SRR1956822	single
SRS897002	SRR1956823	single
SRS897000	SRR1956824	single
SRS897001	SRR1956825	single
SRS896998	SRR1956826	single
SRS896997	SRR1956827	single
SRS896999	SRR1956828	single
SRS896996	SRR1956829	single
SRS896994	SRR1956830	single
SRS896995	SRR1956831	single
SRS896993	SRR1956832	single
SRS1597854	SRR3994671	paired
SRS1597855	SRR3994672	paired
SRS1597856	SRR3994673	paired
SRS1597860	SRR3994677	paired
SRS1597861	SRR3994678	paired
SRS1597862	SRR3994679	paired
SRS1597866	SRR3994683	paired
SRS1597867	SRR3994684	paired
SRS1597868	SRR3994685	paired
SRS1597872	SRR3994689	paired
SRS1597873	SRR3994690	paired
SRS1597874	SRR3994691	paired
SRS1597878	SRR3994695	paired
SRS1597879	SRR3994696	paired
SRS1597880	SRR3994697	paired
SRS1597881	SRR3994698	paired
SRS1597882	SRR3994699	paired
SRS1700699	SRR4253065	paired
SRS1700700	SRR4253066	paired
SRS1700701	SRR4253067	paired
SRS1700702	SRR4253068	paired
SRS1700703	SRR4253069	paired
SRS1700704	SRR4253070	paired
SRS1700705	SRR4253071	paired
SRS1700706	SRR4253072	paired
SRS2221039	SRR5591599	paired
SRS2221041	SRR5591601	paired
SRS2221042	SRR5591602	paired
SRS2221044	SRR5591604	paired
SRS2221046	SRR5591606	paired
SRS2221048	SRR5591608	paired
SRS2221051	SRR5591610	paired
SRS2221052	SRR5591612	paired
SRS7504865	SRR12807632	single
SRS7504866	SRR12807633	single
SRS7504867	SRR12807634	single
SRS7504868	SRR12807635	single
SRS7504869	SRR12807636	single
SRS7504870	SRR12807637	single
SRS8476047	SRR13981643	paired
SRS8476048	SRR13981644	paired
SRS8476049	SRR13981645	paired
SRS8476039	SRR13981646	paired
SRS8476038	SRR13981647	paired
SRS8476040	SRR13981648	paired
SRS8476041	SRR13981649	paired
SRS8476042	SRR13981650	paired
SRS8476043	SRR13981651	paired
SRS8476044	SRR13981652	paired
SRS8476045	SRR13981653	paired
SRS8476046	SRR13981654	paired
SRS9688109	SRR15351389	paired
SRS9688108	SRR15351390	paired
SRS9688107	SRR15351391	paired
SRS9688106	SRR15351392	paired
SRS9688105	SRR15351393	paired
SRS13498139	SRR19761397	paired
SRS13498138	SRR19761398	paired
SRS13498136	SRR19761399	paired
SRS13498137	SRR19761400	paired
SRS13498135	SRR19761401	paired
SRS13498134	SRR19761402	paired
SRS13498125	SRR19761410	paired
SRS13498126	SRR19761411	paired
SRS13498124	SRR19761412	paired
SRS13498123	SRR19761413	paired
SRS13498122	SRR19761414	paired
SRS13498121	SRR19761415	paired
SRS13498120	SRR19761416	paired
SRS13498119	SRR19761417	paired
SRS13498118	SRR19761418	paired
SRS13498109	SRR19761427	paired
SRS13498108	SRR19761428	paired
SRS13498107	SRR19761429	paired
SRS13498106	SRR19761430	paired
SRS13498105	SRR19761431	paired
SRS13498104	SRR19761432	paired
